%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
16.0, -25.3079030001536, 16.178807208314538, 7.969726805575192, 4.02413235232234, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64669152437773E9, 0.0, 2022-03-07 14:18:44.377
16.0, 13.351442841812968, 19.626994967460632, -28.337221964262426, -37.660792553797364, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64669152437773E9, 0.0, 2022-03-07 14:18:44.377
0.0, -77.68146197963506, 72.23990754410625, -3.6725817564874887, 31.488087676931173, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524400389E9, 0.0, 2022-03-07 14:18:44.400
1.0, -45.35002686269581, 48.30454782769084, 0.9312350889667869, 20.088872611988336, 0.0, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524413958E9, 0.0, 2022-03-07 14:18:44.413
1.0, -11.601169662550092, 16.16758750844747, 30.072535543702543, -4.822600992862135, 0.0, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524413958E9, 0.0, 2022-03-07 14:18:44.413
2.0, -67.52763359993696, 64.15798373986036, 2.569311269558966, 25.384570949245244, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244306107E9, 0.0, 2022-03-07 14:18:44.430
2.0, -61.46151587180793, 61.319399673491716, -9.076737192459404, 31.906956471968442, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244306107E9, 0.0, 2022-03-07 14:18:44.430
3.0, -14.163001132197678, 18.003878386691213, 21.257591348141432, -1.8755598277784884, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524431355E9, 0.0, 2022-03-07 14:18:44.431
3.0, -51.88363208528608, 48.27836852800101, 14.260238531045616, 11.128072318155318, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524431355E9, 0.0, 2022-03-07 14:18:44.431
4.0, -76.11444389820099, 74.80921881366521, -13.336483241990209, 33.09624465787783, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244438245E9, 0.0, 2022-03-07 14:18:44.443
4.0, -28.311042664572597, 31.73679102398455, 8.05574450455606, 9.08982684230432, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244438245E9, 0.0, 2022-03-07 14:18:44.443
5.0, -31.231904529966414, 27.4209464751184, 24.567402808927, 0.6750519420020282, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244593384E9, 0.0, 2022-03-07 14:18:44.459
5.0, -79.87304335366935, 73.34691793099046, -1.3463639840483665, 31.016860282514244, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244593384E9, 0.0, 2022-03-07 14:18:44.459
6.0, -45.293928363360465, 47.58274713624269, -2.01206617616117, 22.80403997981921, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244600687E9, 0.0, 2022-03-07 14:18:44.460
6.0, -12.4501269524917, 15.038137721829116, 27.0132973799482, -1.1201000367291272, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244600687E9, 0.0, 2022-03-07 14:18:44.460
7.0, -67.78194679692388, 61.69338966906071, 8.04452480468899, 26.270927238743752, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244737248E9, 0.0, 2022-03-07 14:18:44.473
7.0, -62.224455462768674, 64.86482483148575, -7.176868014968932, 29.93602919531986, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244737248E9, 0.0, 2022-03-07 14:18:44.473
8.0, -11.556290863081813, 15.183993820101023, 22.465579033829272, 1.6848249300383031, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244894269E9, 0.0, 2022-03-07 14:18:44.489
8.0, -49.87904570903629, 45.42108496185392, 21.033197350800037, 17.710296240169555, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915244894269E9, 0.0, 2022-03-07 14:18:44.489
9.0, -72.2174681443721, 74.61848391592503, -5.168541738763452, 34.958714835811406, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524490122E9, 0.0, 2022-03-07 14:18:44.490
9.0, -23.441692922264338, 32.97095800936222, 10.138868779875338, 9.261862240266055, -0.35200001671910286, 0.9280000440776348, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524490122E9, 0.0, 2022-03-07 14:18:44.490
10.0, -28.21006536576897, 27.892173869535327, 20.288957259617746, -0.12154674855992198, -0.35200001671910286, 0.9280000440776348, 0.33600001595914364, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915245036666E9, 0.0, 2022-03-07 14:18:44.503
